neck_angle,spine_angle,forward_head_offset,shoulder_tilt
101.4525,155.1826,-0.0626,0.012
102.8539,160.2235,-0.0656,0.0055
98.1137,160.0141,-0.0659,0.0081
81.3843,162.1452,-0.0649,0.009
46.8093,163.9784,-0.0644,0.0093
38.0214,163.4247,-0.0638,0.0063
75.7605,165.3696,-0.0641,0.0045
84.9677,167.9777,-0.0643,0.0133
89.8097,168.7905,-0.0648,0.0244
89.7487,169.4369,-0.0653,0.0318
81.6333,169.316,-0.0708,0.0343
81.5777,168.4593,-0.0667,0.0288
79.7592,168.3783,-0.0631,0.0256
77.3859,169.3693,-0.0626,0.0243
73.7408,171.4097,-0.0618,0.0229
74.0755,174.3338,-0.0577,0.0223
76.8387,176.3233,-0.0555,0.0255
91.1622,178.3036,-0.0484,0.0388
103.3777,177.9448,-0.0411,0.0526
111.105,179.2169,-0.0314,0.0402
110.3785,177.6385,-0.0306,0.0376
113.1909,178.3956,-0.0256,0.0394
117.278,177.8297,-0.0237,0.0387
116.0161,177.7847,-0.0268,0.0466
122.8652,177.3218,-0.0257,0.0543
119.3905,176.6808,-0.0279,0.0516
116.5366,176.8436,-0.0286,0.0481
113.3842,176.2244,-0.0301,0.0455
108.8984,175.506,-0.0314,0.0392
99.8303,175.4887,-0.0354,0.034
98.2695,172.4508,-0.0392,0.032
98.5451,171.3352,-0.0413,0.035
101.0461,168.7965,-0.0443,0.0376
101.0357,167.7211,-0.0489,0.041
90.9723,167.4897,-0.0588,0.0431
86.71,166.857,-0.0619,0.0398
84.1477,167.909,-0.0644,0.0397
83.7672,169.1425,-0.0648,0.0399
84.1434,167.543,-0.0656,0.0384
85.5298,167.3096,-0.0665,0.0382
84.6283,167.5668,-0.0675,0.0365
82.8564,168.2348,-0.07,0.037
82.1875,166.4724,-0.0714,0.0339
87.2981,167.4296,-0.0714,0.0409
94.0109,168.1547,-0.0713,0.0391
100.5714,168.2076,-0.0722,0.0357
107.6815,166.9834,-0.0713,0.0363
117.9867,166.0227,-0.0699,0.0327
123.6047,166.0936,-0.0704,0.0327
124.2293,165.8716,-0.073,0.0344
140.9539,165.0417,-0.0726,0.0304
148.1579,164.8411,-0.0739,0.027
169.794,162.8998,-0.0689,0.0158
147.8139,161.283,-0.0677,0.0096
127.0474,159.0768,-0.0674,0.0043
103.846,158.9319,-0.067,0.0068
88.3548,157.3632,-0.0643,0.0192
83.5915,155.8171,-0.0661,0.0258
84.2643,153.5038,-0.0665,0.0304
85.5748,152.5359,-0.0661,0.0311
86.5743,152.4562,-0.0669,0.0293
87.418,152.6933,-0.0665,0.0282
88.0291,152.7028,-0.0653,0.0298
88.0463,152.9763,-0.0661,0.0289
89.1889,153.614,-0.0667,0.0272
89.7727,154.164,-0.0671,0.0254
88.5833,154.8039,-0.0664,0.0254
90.4277,155.218,-0.0673,0.0218
94.6111,156.7727,-0.0675,0.0154
94.959,158.2163,-0.0677,0.0139
97.3634,158.8193,-0.0681,0.0118
104.4204,160.5171,-0.0675,0.0065
108.0345,161.8612,-0.07,0.0034
120.6817,162.5724,-0.0694,0.0006
