neck_angle,spine_angle,forward_head_offset,shoulder_tilt
105.817,177.3658,-0.0345,0.0239
107.5772,177.7672,-0.0329,0.0243
108.1036,177.6612,-0.0327,0.0241
107.5552,177.7779,-0.0329,0.0242
108.9227,177.9339,-0.0325,0.025
109.0282,178.229,-0.0322,0.0252
110.5608,178.3473,-0.0321,0.0267
113.1867,178.6458,-0.0304,0.0269
116.2738,178.7258,-0.0289,0.027
118.2926,178.8127,-0.0279,0.0271
118.5231,179.0589,-0.0278,0.0274
118.7936,179.2708,-0.0274,0.0268
116.9847,179.234,-0.0287,0.0275
117.8177,179.2153,-0.0287,0.0284
118.7691,179.3432,-0.0279,0.0285
120.1019,179.2966,-0.0275,0.029
121.5929,179.3645,-0.0256,0.0272
121.4682,179.2775,-0.0249,0.0255
121.9651,179.2249,-0.0246,0.0254
122.3897,179.2077,-0.0242,0.025
122.6625,179.1072,-0.0241,0.0247
122.7156,178.9733,-0.0242,0.0246
123.0312,178.8631,-0.0241,0.0248
122.8387,178.7861,-0.0238,0.0248
122.1349,178.8549,-0.0239,0.0247
121.289,179.0168,-0.0239,0.0246
120.9841,179.0135,-0.0239,0.0244
120.304,179.0575,-0.024,0.0243
120.4192,179.0412,-0.0238,0.0241
120.332,178.9368,-0.0238,0.024
120.2554,178.9045,-0.0238,0.024
120.4443,178.8514,-0.0237,0.0242
120.6193,178.9029,-0.0235,0.0243
120.5769,178.8828,-0.0234,0.0243
120.4289,178.8853,-0.0233,0.0242
120.0782,178.9483,-0.0233,0.024
120.13,179.042,-0.0233,0.0241
120.1816,179.1098,-0.0234,0.0241
120.1733,179.1655,-0.0235,0.0243
120.6816,179.1103,-0.0236,0.0247
121.5372,179.0986,-0.0234,0.0254
124.8901,179.2783,-0.0231,0.0286
126.5422,179.4429,-0.0223,0.03
127.6121,179.4842,-0.022,0.0308
127.9923,179.4739,-0.0219,0.0312
128.0202,179.4714,-0.0219,0.0312
127.5306,179.4945,-0.0218,0.0309
127.2684,179.408,-0.0218,0.0309
125.9933,179.4189,-0.0221,0.0308
125.7667,179.5203,-0.022,0.0307
125.5666,179.6982,-0.0211,0.0307
126.3477,179.5363,-0.0199,0.0302
126.2777,179.5097,-0.0198,0.0295
127.2744,179.5327,-0.0193,0.0288
125.5784,179.1731,-0.0189,0.028
124.0784,179.1721,-0.0189,0.0262
123.342,179.2515,-0.0189,0.025
122.8989,179.3829,-0.0193,0.0248
122.5978,179.5441,-0.0199,0.0249
122.1156,179.691,-0.0208,0.0247
